10.117688513037308, 6.046511627906966, 0, cl
10.112755461592656, 6.5116279069767415, 0, Group 1
10.12755461592667, 5.116279069767444, 1, cl
20.05919661674, 9.767441860465112, 1, Group 1
20.255109231853396, 10.232558139534888, 2, cl
20.26990838618741, 8.83720930232559, 2, Group 1
39.95278365045806, 13.023255813953483, 3, cl
39.937984496124045, 14.41860465116278, 3, Group 1
40.0887949260041, 11.16279069767441, 4, cl
59.51726568005637, 28.372093023255815, 4, Group 1
60.14376321353063, 29.302325581395337, 5, cl
60.168428470754066, 26.976744186046517, 5, Group 1
79.84143763213524, 32.09302325581396, 6, cl
79.82170542635657, 33.953488372093005, 6, Group 1
79.85623678646931, 30.697674418604635, 7, cl
119.73502466525719, 50.697674418604635, 7, Group 1
119.70542635658916, 53.488372093023244, 8, cl
119.76462297392527, 47.90697674418604, 8, Group 1
